prefix,name,gene,moonPhase,attributes__generation,description,image,attributes__trait1,attributes__trait2,attributes__mobility,attributes__intelligence,attributes__ability,attributes__aura,attributes__spirit
MCRIB,Ridley,Rhino,Waxing Crescent,2,Ridley is always ready for more. Its hunger for greatness is luckily supported by its capacity to go for it. This rhinoceros is even more steadfast in its pursuits than before.,https://ttm.mypinata.cloud/ipfs/QmSuNGrGKDpqtodU1GZWuUiNNGyCroTYd77XSaJTeTJcou,Ambition,Responsibility,,,,,
MCRIC,Ridley,Rhino,First Quarter,3,"Now-a-days, the only thing different about Ridley is its newfound ability to enjoy the pursuit. Over three tons of relentlessness, this rhino is ready to pull out all the stops to get where it wants to go.",https://ipfs.tothemoon.net/ipfs/QmanU5KPF2NtPL7Lpy3rkkVP1i2A22XQHqfu7BMrCnZWAP,Ambition,Responsibility,,,,,
MCRID,Ridley,Rhino,Waxing Gibbous,4,"Always aiming its focus on the next step and discovering new ways to improve, Ridley can never be described as stagnant. This rhinoceros knows if it wants something to change, it's got to initiate it and boy, does it ever.",https://ipfs.tothemoon.net/ipfs/bafkreihezsz2jk4vbbifgpnkzgeofte52t735t2zk7zg5h6sk4qil3pd74,Ambition,Responsibility,,,,,
MCC,Claxton,Crocodile,New Moon,1,"Claxton loves its dad jokes and always shares them to get a laugh going. This croc believes laughter is the best way to brighten everyone's day, so the jokes just keep on coming.",https://ipfs.tothemoon.net/ipfs/QmQN27z2kZ3SqfnZk155KD2hmkzL7tUrSwkSzKh4JCn84c,Humor,Kind,,,,,
MCCB,Claxton,Crocodile,Waxing Crescent,2,"Claxton is one cheery champ! This jokester of a croc drops those puns like they are going out of style…maybe because they already are, but it doesn’t need to know that, as it's part of what makes it so loveable.",https://ttm.mypinata.cloud/ipfs/QmUU4s68a7wd25WuNQbHcR1GJ6c65o9P18LoS4uVcqqT25,Humor,Kind,,,,,
MCCC,Claxton,Crocodile,First Quarter,3,"As if its jokes couldn’t get any cheesier, third generation Claxton came around. It may appear more serious than before, but that could not be farther from the truth as Claxton is still the loveable, wise-cracking croc who hatched from its mother’s egg long ago!",https://ipfs.tothemoon.net/ipfs/Qmaw7nKnPG37Pm9rpz59tWvrSDXWrTybknNVphQvGZHdXt,Humor,Kind,,,,,
MCCD,Claxton,Crocodile,Waxing Gibbous,4,Good luck not cracking up with this croc. No crocodile tears here. This creature is genuine and only looking to spread the love.,https://ipfs.tothemoon.net/ipfs/bafkreiblhta3hnzw3qzrl2itox4twt72n6jw7loi2sh7n27uxfmjfkqx74,Humor,Kind,,,,,
MCDO,Dottie,Dolphin,New Moon,1,"A bit timid, Dottie explores in its own way. This dolphin can be described as serene, but is always eager to find out what lies beyond its current view.",https://ipfs.tothemoon.net/ipfs/QmVQFQRPxJH6D5HGU6no985G9cdeSi3qe2EKPHynMGeQFq,Curiosity,Calm,,,,,
MCDOB,Dottie,Dolphin,Waxing Crescent,2,"Like still water at the end of a windy day, Dottie brings peace and therefore, a balance to the many animated, eccentric characters of the group. This dolphin still takes its time to find what the deeper waters hold.",https://ttm.mypinata.cloud/ipfs/QmVSfyMdFWoUndo4JecvBwJtpRTSU6DyhEtzSaHJyEEAtD,Curiosity,Calm,,,,,
MCDOC,Dottie,Dolphin,First Quarter,3,"Dottie is still the low-key soul of the sea it always was, but now, this dolphin has discovered plenty previously unknown parts and earned its explorer title among the bunch.",https://ipfs.tothemoon.net/ipfs/QmdkBjDMRnxYpULTRe79guyZpScukrUqtDVFoUSmZSTSVk,Curiosity,Calm,,,,,
MCDOD,Dottie,Dolphin,Waxing Gibbous,4,"Dottie is now the group's go-to for discovering what lies beyond the reefs already conquered. However, in doing so, they have learned to accept that it works in its own way and time. Because of its slow and steady approach, this dolphin never misses a thing.",https://ipfs.tothemoon.net/ipfs/bafkreigxpa77s2nnjqxt6ax3siywb23uhexwx4rlhmecfe2ojrrr36wsgq,Curiosity,Calm,,,,,
MCSH,Sheldon,Shark,New Moon,1,"Sheldon always has a shark tale to tell. Everyone is its closest, dearest friend, including strangers since it is an open book letting all read about its exciting life.",https://ipfs.tothemoon.net/ipfs/QmSFLMgJuEQjtuV585qhCZuENrHMAeRrXmw1Uhq52sLh3f,Sociable,Charisma,,,,,
MCSHB,Sheldon,Shark,Waxing Crescent,2,"Shark tales? Please, now all gather to hear Sheldon’s legendary shark novels! Its many friends recognize its way with communication and relationships, so all stay close.",https://ttm.mypinata.cloud/ipfs/QmbwPyyosDoUh4Zpss6XrdYKXxD2GQCP9bN9Xw41WMapZc,Sociable,Charisma,,,,,
MCSHC,Sheldon,Shark,First Quarter,3,Ever heard of a shark who’s popular among schools of fish? That’s Sheldon. A one-of-a-kind storyteller that attracts all walks of life (including supposed-to-be prey) with its magnetic ways.,https://ipfs.tothemoon.net/ipfs/QmQaRTNi15peCoC7BNDZS61QyGqrAgut53rN7FhWRWzQjU,Sociable,Charisma,,,,,
MCSHD,Sheldon,Shark,Waxing Gibbous,4,And so the story goes on…Sheldon has become the moon's resident storyteller. This shark uses the activity to bring everyone together simply to blow them away. Only such a large jaw could share lofty tales like these.,https://ipfs.tothemoon.net/ipfs/bafkreidskv5dkbsjq3y6xivdl4su4cklvfkm2ymfsisjewwrcunzi5vr6u,Sociable,Charisma,,,,,
MCBR,Bromley,Bear,New Moon,1,"Bromley is a bear of its word, with a way of words. It is quick on its feet and will make others laugh, but always while maintaining pure dignity of itself and others.",https://ipfs.tothemoon.net/ipfs/QmSyobfdpFjyd5GizhGPsZWL1ExR7DzRe5yLBEr19EsQHG,Wit,Respect,,,,,
MCBRB,Bromley,Bear,Waxing Crescent,2,"Still a cute teddy, growing into his size, Bromley is more honest and noble than ever. This bear’s quick, playful humor makes it an unforgettable bruin.",https://ttm.mypinata.cloud/ipfs/QmTbFBr7PeU7o2mDQZ1XMrCg7fNcZSX8gq8vmbwsHPkYkz,Wit,Respect,,,,,
MCBRC,Bromley,Bear,First Quarter,3,All have been waiting for Bromley to come out of its long slumber with its crafty one-liners. It’s been a long winter without this magnanimous cub.,https://ipfs.tothemoon.net/ipfs/QmY83u5tYvab15qkDmbZa8FEjX4qyN1CyMwGdBhMnNeBjp,Wit,Respect,,,,,
MCBRD,Bromley,Bear,Waxing Gibbous,4,"After really packing on the pounds- and puns- this winter, Bromley is back and more considerate than ever. This bear doesn't let anything stop it from keeping itself dignified and the gang in stitches!",https://ipfs.tothemoon.net/ipfs/bafkreiglvkg5hkseduc3lpob35lz4cmcyyo5mnzdc32stbqff2itunmbzq,Wit,Respect,,,,,
MCPE,Pezi,Pig,New Moon,1,"The type of pig who values hard work and a job well done. Pezi doesn't let the carefree slackers fall behind because it wants to see everyone succeed for their own self-worth, as well as the well-being of the group.",https://ipfs.tothemoon.net/ipfs/QmZy6kVdWLTHzG5ezpktM8PDnTLP9DkTxJ9mkTKigSA5pm,Logic,Discipline,,,,,
MCPEB,Pezi,Pig,Waxing Crescent,2,"This is no lazy pig. If anything, Pezi is even more meticulous than in its baby days. It has the gift of rationality to reach the other side of any challenge it may face.",https://ttm.mypinata.cloud/ipfs/QmbDQKsPGrcW2cUTbq8ci326bjetwkRggKQSp3i4Z9KdZd,Logic,Discipline,,,,,
MCPEC,Pezi,Pig,First Quarter,3,"Pezi may look like a bit of a backbreaker, but that’s because it totally is. This pig will not rest or go for a roll in the mud till the job is done. Don’t worry, it’s just as hard (if not harder) on itself than with others.",https://ipfs.tothemoon.net/ipfs/QmWPkqKE8h4rSFUt5MVnwFAsekaPdyDxj3YYc8XG5HeC2i,Logic,Discipline,,,,,
MCPED,Pezi,Pig,Waxing Gibbous,4,"Pezi is now old enough to know how to soften its hard, tough-love approach. With the gift of reason, this pig can move mountains and persuade the group to join in on the fun.",https://ipfs.tothemoon.net/ipfs/bafkreigvlbmx74ivsdmjhjz5hlbsfydjqjksl3j2o7otf7a3253u2kjis4,Logic,Discipline,,,,,
MCP,Piper,Penguin,New Moon,1,"A penguin that has a guiding feeling, a sixth sense, a trusting calm. Piper is the little glimmer of light found in the deepest dark and always shows the way.",https://ipfs.tothemoon.net/ipfs/QmWvZ9nhg43eLwnV32Vg5TmF5sWT8G2treWuh7kxTGwYDX,Intuition,Faith,,,,,
MCPB,Piper,Penguin,Waxing Crescent,2,"Piper has only grown more confident in itself, the universe and its cuteness. This penguin’s gut feeling is not to be ignored.",https://ttm.mypinata.cloud/ipfs/QmYH9PkwoWY7LkXfPqC225c85qNvgeaJzGs9pheCzuqRVx,Intuition,Faith,,,,,
MCPC,Piper,Penguin,First Quarter,3,"Piper has grown into a self-assured adolescent who is now a force to be reckoned with. Its little ""hunches"" have developed into powerful feelings and visions that lead the way for this penguin and those around it.",https://ipfs.tothemoon.net/ipfs/Qmek7mfMZEjZJVrgx11fpkpwqc3nuRnUyLkfB6XhN58KqF,Intuition,Faith,,,,,
MCPD,Piper,Penguin,Waxing Gibbous,4,"Piper now has years of experience proving that its instincts lead to the most hidden of truths, which only makes it stronger. This penguin has spent its entire growing up part of life proving that unwavering belief lights the darkest tunnels.",https://ipfs.tothemoon.net/ipfs/bafkreieejgkhvcyudrc3jnx7zbh327hulw2rqcx5swmt7w7lbnuntywu7e,Intuition,Faith,,,,,
MCDAR,Dart,Dodo,New Moon,1,"With aim set on target, Dart will never miss. It is an unshakable and skilful master in its own Dodo way.",https://ipfs.tothemoon.net/ipfs/QmQhiDiTaqkC7r2HkVbmriVyyLY87vkE12zfRWzgS7aPJm,Talent,Focus,,,,,
MCDARB,Dart,Dodo,Waxing Crescent,2,"This Dodo doesn’t need the gift of flight, while it has impeccable aim. Dart’s persistence is another quality that shadows the false stereotype of its species’ unintelligence.",https://ttm.mypinata.cloud/ipfs/QmTCKRTBoQQ391QCrvgZAmKMTbJ5YPaTk8hmTvpCktodaF,Talent,Focus,,,,,
MCDARC,Dart,Dodo,First Quarter,3,"Proving that sense of direction is not within a bird’s wings, Dart is doing just fine without them. This Dodo has only gained greater concentration with the passing of time.",https://ipfs.tothemoon.net/ipfs/QmZGquURsV9WAuvjmrRU4MXbLte78cECzTJYXQGWYKaau6,Talent,Focus,,,,,
MCDARD,Dart,Dodo,Waxing Gibbous,4,"Bullseye! With precision like Dart's it's harder to miss than to hit a target. There's no distracting this dodo. It's got nowhere to fly off to, so its spotlight is always set on what's in front of it.",https://ipfs.tothemoon.net/ipfs/bafkreiaslvwua273vbcndc7f4563ws7vdftlzpnc7vjmqcomwo5cdmpww4,Talent,Focus,,,,,
MCGU,Gunder,Goat,New Moon,1,"Gunder is its own symbol for good fortune. A master at keeping spirits up, even when circumstances don't look the best.",https://ipfs.tothemoon.net/ipfs/QmaSV8zhEKFU3VuUfDbGj99X3SnJRcw22Ch2nd641WJPnm,Luck,Faith,,,,,
MCGUB,Gunder,Goat,Waxing Crescent,2,"This goat is the G.O.A.T. at trusting the universe. Gunder knows everything will turn out okay in the end and if it’s not, then it’s not the end. This is because it has a history that proves this theory right. Blessed.",https://ttm.mypinata.cloud/ipfs/QmTCQNgKWBJg74edwWQC4yJxVt41zbdWxLfTPbutGYSp8Y,Luck,Faith,,,,,
MCGUC,Gunder,Goat,First Quarter,3,"Bigger the horns, bigger the trust in the universe. Gunder has become a sort of icon, representing health and prosperity. All wonder how this goat has managed to attract such blessings, but Gunder attests it's all about belief.",https://ipfs.tothemoon.net/ipfs/QmV2STWHcWZLUnYgQ6PQhNPKFRbULZ1xJ8oZmuZXo9f7iA,Luck,Faith,,,,,
MCGUD,Gunder,Goat,Waxing Gibbous,4,"A true symbol of prosperity, Gunder helps teach others to attract what it has. It said it once and it'll say it again- it all boils down to conviction- having trust that the universe will deliver. If this goat's growing beard is any indication of its developing faith, then we know it's got it all figured out.",https://ipfs.tothemoon.net/ipfs/bafkreib3qkufoz7vdup3gnl4wb2xawxccu544ahp75fpq2jgrrexiht3ti,Luck,Faith,,,,,
MCSP,Speed,Sloth,New Moon,1,"Speed finished its today to-do list, yesterday. This sloth is a pro at finding the most practical and quickest way to do anything.",https://ipfs.tothemoon.net/ipfs/QmbJXt6gH2f2Q7D6FxvYCV4YjGLxMuMaF2WAwmDVH5XK3h,Ambition,Efficiency,,,,,
MCSPB,Speed,Sloth,Waxing Crescent,2,Productive is an understatement with Speed. This sloth has only gotten quicker and smarter with its process to get things done. A lazy Sunday? Speeds never heard of them.,https://ttm.mypinata.cloud/ipfs/QmS41weQrUpLWDKGA1dtkENMd453cMyKoao8rqBW6coCk7,Ambition,Efficiency,,,,,
MCSPC,Speed,Sloth,First Quarter,3,Never underestimate those disengaged eyes. Speed knows what needs to get done and it’s already done it. This sloth wakes up early with an earnest drive to tick all the boxes and move forward in life. It’s time to check it off!,https://ipfs.tothemoon.net/ipfs/QmaWvqChsSCbM57p8REfiZKcDpXUXvmC2gz1ADbpcHf4GW,Ambition,Efficiency,,,,,
MCSPD,Speed,Sloth,Waxing Gibbous,4,"With an even lazier look than in previous generations, Speed's appearance has only gotten more deceiving. Prepared to take on the countless tasks it's set for itself, this sloth will be up and atom well before its alarm goes off.",https://ipfs.tothemoon.net/ipfs/bafkreid6iqy7mkqjopolvassudjggwwoky25v4yfc6uxvcoo2uf7ldcsuu,Ambition,Efficiency,,,,,
MCT,Tilden,Tiger,New Moon,1,Eye of the tiger is an understatement with Tilden. Its positive outlook and tenacity make it a born winner.,https://ipfs.tothemoon.net/ipfs/QmXRjstFaDQbqVGb8afjhApsspddSBXamfLeVMyKJr47rx,Optimism,Determination,,,,,
MCTB,Tilden,Tiger,Waxing Crescent,2,"With sharpened focus, Tilden and its sunny stance will only go farther as time passes. This tiger has earned its stripes and is a true champ.",https://ttm.mypinata.cloud/ipfs/QmU7LKYyqYohAPRtJjx2s7ppvmVscJsQ3nFGMmv57CpzWT,Optimism,Determination,,,,,
MCTC,Tilden,Tiger,First Quarter,3,"Tilden knows a thing or two about keeping the faith. But coupled with its steadfastness and tiger strength, there is no taming this wild cat.",https://ipfs.tothemoon.net/ipfs/QmcEhN8RtfNW3TL9PQyXMPkwhZ1UQDjdqLi5rNnVgSobct,Optimism,Determination,,,,,
MCTD,Tilden,Tiger,Waxing Gibbous,4,"With that unwavering mindset, this tiger has learned that the opinions of others mean nothing, but of oneself….well, that's what determines its fate.",https://ipfs.tothemoon.net/ipfs/bafkreiaopuirkovchbzbv3vdg2irlrapkueawocjxvgw5bwfya2hjpkuou,Optimism,Determination,,,,,
MCB,Brynly,Badger,New Moon,1,"Dauntlessness, strong and true. Brynly the badger keeps digging even through concrete. No stone left unturned, no grub left untouched, you can count on it.",https://ipfs.tothemoon.net/ipfs/QmYodCii6u3ahQsbLSZs1DwtMnHHp3TffCgPQHgYrnFjiX,Determination,Reliability,,,,,
MCBB,Brynly,Badger,Waxing Crescent,2,"Brynly has embraced its nocturnal self and spends its nights hard at work. A strong, robust badger who is not afraid to give it its all to reach the other end of the tunnel. Dig, dig dig!",https://ttm.mypinata.cloud/ipfs/QmTavAbzSU5m5o3jAjuawiVZkTbRQwUjAm4xUV72hGZsEU,Determination,Reliability,,,,,
MCBC,Brynly,Badger,First Quarter,3,"With new, monstrous claws that match its strength, Brynly is the real brunt of the blow. Worms, beware! This badger can make its way through the most solid of ground.",https://ipfs.tothemoon.net/ipfs/QmSPVfbR2dFKCQm2omws4jh9oQCW97QdsoZ8vjioBSVhXG,Determination,Reliability,,,,,
MCBD,Brynly,Badger,Waxing Gibbous,4,"More efficient than every Moon Tool there is, this badger can hollow out any space in seconds! Bank on Brynly to lead the way out of a rock-hard pickle.",https://ipfs.tothemoon.net/ipfs/bafkreiao5xd6qzlnifqantsgmmwspfbvf5sonvujahj5bianmwqux75vf4,Determination,Reliability,,,,,
MCZ,Zandra,Zebra,New Moon,1,"Ready with whatever pep talk is needed, Zandra is the motivator of the team. This zebra is always happy to offer its honest and principled approach to others.",https://ipfs.tothemoon.net/ipfs/QmdoqWRWy7kUwK4sawuzf3AxWjb3tD5pjDFGXosZ3bVaHT,Conscientousness,Enthusiasm,,,,,
MCZB,Zandra,Zebra,Waxing Crescent,2,Zandra’s pep talks have evolved into the greatest motivational speeches the universe has ever heard. This zebra loves to share its moral way with all around it.,https://ttm.mypinata.cloud/ipfs/Qmcjo1omx1iosFraqKD2LaV3VWMpav63aTZFYouN38VuH3,Conscientousness,Enthusiasm,,,,,
MCZC,Zandra,Zebra,First Quarter,3,"Zandra and its spunky stripes always take the high-road. It’s one eager, spirited zebra who knows just what to say to get others to do the same.",https://ipfs.tothemoon.net/ipfs/Qmax28vtg6ZwQofNNaFfonPpQMjMxmpUYs5L3BebMAfv93,Conscientiousness,Enthusiasm,,,,,
MCZD,Zandra,Zebra,Waxing Gibbous,4,Passion radiates through the stripes on this zealous zebra. Zandra has morphed into the greatest source of inspiration for all as it tirelessly works to raise others up and loves every second of it.,https://ipfs.tothemoon.net/ipfs/bafkreic4u5hqfrls2lvhbgsv55bmcqkoh7bmoxedaqp5zg3k2tz7h7rvrm,Conscientiousness,Enthusiasm,,,,,
MCBA,Baxlee,Beaver,New Moon,1,A brilliant beaver who has the gift of empathy for those around it. Baxlee's campy personality makes it a true original.,https://ipfs.tothemoon.net/ipfs/QmZsgpUzXRuvebf2TLjST7mBmyNSFVE4JpKXSjM5NagDHb,Wit,Kind,,,,,
MCBAB,Baxlee,Beaver,Waxing Crescent,2,"Bright, thoughtful, and a real comedian, Baxlee is a unique beaver who, regardless of stereotype, is never too busy for those it holds dear to its heart.",https://ttm.mypinata.cloud/ipfs/QmS8jqCgKGvA773dqme3fo4bpytNS2UpL2xTHBkg9wQdL7,Wit,Kind,,,,,
MCBAC,Baxlee,Beaver,First Quarter,3,You’ll always be welcome to join this beaver’s colony! Baxlee is back with even more jokes and love to give. The group can never get enough of this creature's tomfoolery.,https://ipfs.tothemoon.net/ipfs/QmWBPyJtAZks3uz7oM61BxHy5ryp887jS8v8u8cczujZQU,Wit,Kind,,,,,
MCBAD,Baxlee,Beaver,Waxing Gibbous,4,"This beaver's dam door is always open for its many friends. Along with its growing buck tooth, Baxlee's banter has also matured over the years.",https://ipfs.tothemoon.net/ipfs/bafkreickss67xl3kscvg3gxpdcyyqrza3ra5nt3ru7bfznf2nrydyocq34,Wit,Kind,,,,,
MCD,Dalton,Duck,New Moon,1,This duck is always there when you need it. You can count on Dalton's self-assurance and steadfastness to get you out from between a rock and a hard place.,https://ipfs.tothemoon.net/ipfs/QmXmqcHaBnHriLVVBGr6jZcuVn8GeLsAv4emf2X7z35c5x,Confidence,Reliability,,,,,
MCDB,Dalton,Duck,Waxing Crescent,2,"Never the one to duck-out of a tough situation, Dalton is still a steady force to be reckoned with. For this reason, this duck is sure of itself and so are those around it.",https://ttm.mypinata.cloud/ipfs/QmQo2z3jXZkKvnZBKWwwQWrPvL35wBFyqQrMfyDURpk2jr,Confidence,Reliability,,,,,
MCDC,Dalton,Duck,First Quarter,3,Dalton’s bigger bill has developed into a more accurate depiction of its capabilities and sureness of itself. But this duck has not grown cocky as it still is that solid rock for those around it.,https://ipfs.tothemoon.net/ipfs/QmPyP4ejCjFEVdRVExpXdXLPc5GTZpai2EPpPkNQK7mktF,Confidence,Reliability,,,,,
MCDD,Dalton,Duck,Waxing Gibbous,4,Bigger bill. Wider wingspan. Dalton can take whatever this duck waddles itself into and it has the experience to back that claim up. Everyone knows they can count on it.,https://ipfs.tothemoon.net/ipfs/bafkreihyd6c2elm3s4lxqjelapkm5iibjarvpchc6thn7kmvuoocndxavq,Confidence,Reliability,,,,,
MCG,Gideon,Gorilla,New Moon,1,This gorilla knows that vibes don’t lie and always goes with its gut feeling. Gideon is a natural commander with a strong presence.,https://ipfs.tothemoon.net/ipfs/QmRtAq26x6H17J7jHUBusPXTngiEtPyj6Pwy4UjMXkzLgJ,Leader,Intuition,,,,,
MCGB,Gideon,Gorilla,Waxing Crescent,2,"With more fur that now represents a mane, this gorilla may be the real king of the moon jungle. Gideon always listens to the voice that speaks answers to it deep within, then confidently shares the way to others.",https://ttm.mypinata.cloud/ipfs/QmWo5d5MPYrF2Mjfm1PNh4qF99C97gwEQNsE6o8SRGZgCa,Leader,Intuition,,,,,
MCGC,Gideon,Gorilla,First Quarter,3,"A luminary of its generation. Gideon always looks inward for the answers, then uses its findings to shed light on the way. Contrary to popular belief about gorillas, this chief is not afraid to lead the way, even through water!",https://ipfs.tothemoon.net/ipfs/QmZCKjxgnYRMojQwHY7s6HiAyisziu9joz5QgawQg9MvU9,Leader,Intuition,,,,,
MCGD,Gideon,Gorilla,Waxing Gibbous,4,"Over the years Gideon has mastered the art of knowing who warrants its fierceness and who doesn't. Fortunately, it is calm and gentle by nature with an accurate hunch of who poses a threat. This makes it a reliable source to all. Who wouldn't want to follow this gorilla's lead?",https://ipfs.tothemoon.net/ipfs/bafkreichw5nv723mkin3jajptok6yqe3i5zy5vd6i5jnikzhr5oghtrxme,Leader,Intuition,,,,,
MCMI,Minerva,Mammoth,New Moon,1,"Minerva can wait till the time is right. Being a creature of earthly extinction, this mammoth is equipped with rare skills that have never been seen by the human eye of this geologic age.",https://ipfs.tothemoon.net/ipfs/Qma12iu2oiaMbzWy8LLa7CmdmRuUCmq7AYRN3R8xh7Diq2,Patience,Talent,,,,,
MCMIB,Minerva,Mammoth,Waxing Crescent,2,"Bringing specific skills of another age to the universe, this mammoth is able to offer unique survival tips and tricks. Minerva also teaches the others about the importance of self-control in times of waiting.",https://ttm.mypinata.cloud/ipfs/QmNY5CbQ8iFzhM36HUMNjsUUKdYvidpdDyQKX5caX7gJZp,Patience,Talent,,,,,
MCMIC,Minerva,Mammoth,First Quarter,3,"Though it certainly could, Minerva doesn’t need to wait till the next ice age to blossom. This mammoth has been thriving on the moon thanks to its rare skill set and endurance.",https://ipfs.tothemoon.net/ipfs/QmPLuRkKenVjoyw1jR1KbuDmqqX9hPuXv8kgZotJdEnZJk,Patience,Talent,,,,,
MCMID,Minerva,Mammoth,Waxing Gibbous,4,Creatures of a previous geologic age had to be accustomed to waiting and completing simple tasks through difficult ways. This mammoth has developed into a powerful creature with a mindset like no other.,https://ipfs.tothemoon.net/ipfs/bafkreieufbswwad6bvxgcvecnyite5grog4mq6ms3nexdmg53f7ovf22dq,Patience,Talent,,,,,
MCTA,Tadeo,Turtle,New Moon,1,"Even when it seems not to notice, it does. Tadeo is an all-seeing, all-knowing turtle, thanks to its checked-out appearance.",https://ipfs.tothemoon.net/ipfs/QmX2UaddWFZW4yBFhYMYA2eMMtNT3jDQtQyEy6oQUxkJ4r,Clever,Alert,,,,,
MCTAB,Tadeo,Turtle,Waxing Crescent,2,"The secrets out- Tadeo has eyes at the back of its shell…. just kidding, this has yet to be confirmed, but how else to explain this turtle’s ability to see all? Perhaps it’s its brilliance and natural perceptiveness.",https://ttm.mypinata.cloud/ipfs/QmSpxYVSWGTGFHztxuoz9nJzgsNRNp9yMj52WFnm6p1DYJ,Clever,Alert,,,,,
MCTAC,Tadeo,Turtle,First Quarter,3,"Is that smoke coming from a shell? Accompanied by its superior intelligence and sharpness, Tadeo has grown into a fiery force with a chimney-like shape. Some presume it is to send signals, but only time will tell what evolution will bring. It’s always a mystery with this turtle.",https://ipfs.tothemoon.net/ipfs/QmUeVsvTiqqfHdnBJL54GNd59vSruJbGPYQfohZmBgWCm4,Clever,Alert,,,,,
MCTAD,Tadeo,Turtle,Waxing Gibbous,4,"Confirmation: we have spotted fire. Tadeo has returned- flames and all! This turtle is certainly more conspicuous than in its wee years, but has grown even more astute and nimble.",https://ipfs.tothemoon.net/ipfs/bafkreigz2cvyrzduxmwryl7tciq35tfmlbpnbeyxwl4xnoorguk76vdeyq,Clever,Alert,,,,,
MCJ,Jupiter,Jellyfish,New Moon,1,Jupiter is a top communicator. This jellyfish makes lasting connections everywhere it goes with a strong reverence for those around it. It also has the ability to make them feel like the most important being in the universe.,https://ipfs.tothemoon.net/ipfs/QmPBpyLqnVcRjgyptPjkDPqU4PgFAzoni8sLRC1jZxNypQ,Sociable,Respect,,,,,
MCJB,Jupiter,Jellyfish,Waxing Crescent,2,"What makes Jupiter so popular isn’t its outgoingness, but instead, the presence it gives to those around it. This jellyfish is considerate and would never sting a soul.",https://ttm.mypinata.cloud/ipfs/QmZ88NDhLHYDRoEpiBh8LaQ8VbApd1D1cFBxMnxSYPZWAE,Sociable,Respect,,,,,
MCJC,Jupiter,Jellyfish,First Quarter,3,"Jupiter has the ability to touch (not sting) the hearts of those who have the privilege of meeting it. This jellyfish is a favorite because of its ability to help others see their true value, and that, of course, is its.",https://ipfs.tothemoon.net/ipfs/QmPqJWdsivTtzs57e5ptyfoMexoWzd3BibqRpTS6G2xB1V,Sociable,Respect,,,,,
MCJD,Jupiter,Jellyfish,Waxing Gibbous,4,"Whoever said jellyfish have no heart, obviously have yet to meet Jupiter. A truly considerate being who thrives in the presence of others, this creature doesn't just glow in the dark, it lights it.",https://ipfs.tothemoon.net/ipfs/bafkreibcyoeild5t2pwvcohyukpcexpyftktec7z7d2b36t5c33ypvhepe,Sociable,Respect,,,,,
MCOV,Ova,Octopus,New Moon,1,"A bright octopus, who is wise beyond its years. Known for being an old soul, young Ova comes with plenty of fortitude and tenacity.",https://ipfs.tothemoon.net/ipfs/QmQNrXZ9DCeJUGCbKDZ13TgNgYiZVHYo1sBFNmUoDeHcXe,Wisdom,Focus,,,,,
MCOVB,Ova,Octopus,Waxing Crescent,2,"Still far too intelligent for its age, Old soul Ova has got its eye on the prize. This octopus knows how to make the most of its maturity and intellect.",https://ttm.mypinata.cloud/ipfs/Qmcrxx2XLtmyxcf9ToAcVSErfxxerayDD7DgfmmxD6RGkn,Wisdom,Focus,,,,,
MCOVC,Ova,Octopus,First Quarter,3,This single-eyed beauty has the greatest concentration and intelligence of all the sea creatures. Ova’s eye is a representation of its one-track mind and this octopus has grown to own these gifts of its.,https://ipfs.tothemoon.net/ipfs/QmbN5q13Q2ZSY6M3yZoPYfn6gYxhzHWTW7taome5UZXPFU,Wisdom,Focus,,,,,
MCOVD,Ova,Octopus,Waxing Gibbous,4,"The old soul has finally grown into its body. Mature Ova continues to have more sophistication and foresight than other creatures of its age, but at least now its tentacles have caught up to the size of its brain.",https://ipfs.tothemoon.net/ipfs/bafkreif3jrxzhelavmoslzxunbq2zihri264xqzpemu73qvza2kvgxx26i,Wisdom,Focus,,,,,
MCWA,Wai,Whale,New Moon,1,A knowledgeable whale whose experience makes it one of the most accomplished creatures. Wai is the definition of all-knowing.,https://ipfs.tothemoon.net/ipfs/QmWtAz2oD8y1SJeHZvMcor83jaFzyRQagT26dkdb2vaBso,Wisdom,Skillful,,,,,
MCWAB,Wai,Whale,Waxing Crescent,2,"An astonishing creature of the sea, this whale’s brain can be compared to the size of its body (of course in a metaphorical sense). Wai has developed into one of the most astute of the gang.",https://ttm.mypinata.cloud/ipfs/QmRpGb3VbzB2xBN6BgfFm5tAe9pzaQqp4zYo2vkk2eA5b2,Wisdom,Skillful,,,,,
MCWAC,Wai,Whale,First Quarter,3,"A true intellectual who’s crystal ball hold’s all-encompassing knowledge. With the passing of time, Wai’s enlightened view makes this whale the most progressive creature.",https://ipfs.tothemoon.net/ipfs/QmXgv8zMT2zsJKLw6LMnqaVXjkne6GTrHdiMsxeeSrH78r,Wisdom,Skillful,,,,,
MCWAD,Wai,Whale,Waxing Gibbous,4,Wai has become everyone's main source for sage advice. This whale always knows the best course of action and will share what its crystal ball says with all.,https://ipfs.tothemoon.net/ipfs/bafkreicqwmtik5jcz6qpwweor2zdoeslt5gvaqy235ewn5ubddlnucsw6u,Wisdom,Skillful,,,,,
MCFU,Fulton,Falcon,New Moon,1,"A gracious falcon, Fulton makes others swoon with its magnetism. Unaware of its own appeal, its greatest quality is definitely its massive heart.",https://ipfs.tothemoon.net/ipfs/QmSApyoYcU1u5BMwFiWV1c1UAJQurQkfrHFrBq3eR9GdKg,Charisma,Kind,,,,,
