prefix,name,description,moonPhase,image,attributes__gender,attributes__trait1,attributes__trait2,attributes__trait3,attributes__skill,attributes__aura,attributes__style
C082,Cryptonaut .082,"These are not your Grandma’s mittens. .082’s knitting creations are utilitarian works of art. Her pieces are used by all on the moon to promote the 3 R’s- Reduce, Reuse, Recycle! Not to mention she’s a machine and gets everything done in no time.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/Qmds7RLrgjJpd7DXepwje5JubEaWbMfJFKuqusYeHLskTR,Female,Conscientiousness,Efficiency,,,,
C083,Cryptonaut .083,"A serene stream, steady as she goes. .083 may be up in the air on a rope, but she’s as grounded as they come. Everyone can count on her, no matter how high up she decides to walk.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmR5mJaxejoyrToyjaKvsUsyM5zFvDX337jx8mxGdoH17Q,Female,Reliability,Calm,,,,
C084,Cryptonaut .084,"Keeper of public notices, this Cryptonaut’s trustworthiness and enthusiasm makes him the best man for the job. .084 is a bit of a stickler, but no one seems to notice or at least mind because of his ability to make everyone laugh.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/Qmf4Lp3Y2FSJUM5KWjcqZwoMfEHSmx28XNmHLyc7Gpa3U2,Male,Optimism,Responsibility,Humor,,,
C085,Cryptonaut .085,"No retirements on his watch. .085 is a racer who knows the track like the back of his hand. And as if that’s not enough, his sureness of himself and humor certainly make up for it.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmQdihJESBdmkvLaMJLkzRQcQ5U9TWXWS37y3mJ3nHtJ9K,Male,Confidence,Reliability,Wit,,,
C086,Cryptonaut .086,This Queen of the Grill is the ultimate pitmaster. .086 is so good at what she does that no one can tell it’s not actual meat. Her ethical cooking has all the cryptonauts lining up for seconds!,Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmdwX7ZTu8Nq1LhHDicAtcTnjckDgCmuDnEmwDCULc5YSW,Female,Conscientiousness,Kind,,,,
C087,Cryptonaut .087,"This ballerina nails the entire choreography in one-go. With the grace of a moon swan .087 draws others to her and honors all other dancers, regardless of her genius.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmQcKkLEHU4oErKucFRyBfkeDJ5bTz4rE82PbY8WyQH8S9,Female,Sociable,Respect,,,,
C088,Cryptonaut .088,Had a rough day? Have a jump with .088 and get the good vibes flowing. She’s a real wise-cracker who is more than happy to jump rope with anyone who’s in need of those feel-good endorphins.,Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmaHDzUSfmvkV2rxfzvHZUufH8Dy5gXvxBRSTs6UhNeqvH,Female,Humor,Humility,,,,
C089,Cryptonaut .089,As if there wasn’t already enough of a lack of gravity on the moon….but maybe it’s the irony of it all that makes .089 such a hilarious guy. He’s always willing to share some air on his trampoline.,Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmS9iwZoRWgBG5SWzEadfNB6f258a66NfV5GinxrMkeuCG,Male,Humor,Generosity,,,,
C090,Cryptonaut .090,"With an impeccable taste in music, .090 knows the best of every genre. You ask for it, he’s got it! This Cryptonaut makes all the moon beats for the universe to enjoy and serves them with a side of warmth and passion that no other entertainer does.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmYX4HFGv7Z9eS2PKc77MihUAGinSKexLDNF4a9ZzZiwNA,Male,Versatility,Enthusiasm,Generosity,,,
C091,Cryptonaut .091,"Of course, .091 is always at ease - he’s carrying more than most can imagine. Radiating positivity and quiet confidence, this Cryptonaut knows true treasures are found among the stars and kept safe in the bag.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmV6Ab4MvyTqebTgYpZHhpmTX2CWvwpgq1P935EYt6L6kY,Male,Optimism,Charisma,Calm,,,
C092,Cryptonaut .092,"Master of the curve shot, .092 gets every ball into the pocket. This must be from his clever and quick nature. An approachable guy, always down for a game who keeps everyone laughing with his tricks.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmUeULAsqy36FfqLqULRb9Y6tYNFn2ZjvnRbRxn5eR6kUa,Male,Humor,Wit,Sociable,,,
C093,Cryptonaut .093,"Ready to go wherever life takes her, .093 is always ready for a whimsical adventure. But open her suitcase and you’ll see she only carries the basic essentials and does not let frivolous objects slow her down. This Cryptonaut is all about the experience!",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmUi9tBU1AUa1kMUXmyV6kN2KrwD9KZsWM8mnBBRsxAvdm,Female,Imagination,Humility,,,,
C094,Cryptonaut .094,"Good luck getting an appointment with the moon’s top hair stylist. .094 is a master artist who stays true to the rules of styling- No rounded bangs on a diamond face! But part of his appeal is his appreciation for his clients, as he never takes his business for granted.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmfPSuWG7AXCCE8QeSrcv4zivaTDEtx1wb465qJYJRw82z,Male,Charm,Respect,,,,
C095,Cryptonaut .095,"The Universe’s resident Moon Cave Specialist. This speleologist has a one-track mind set on reaching depths of caves no one even knows exist! And also, in record-breaking time no one even knows is possible! The need to find what lies inside in the depths is what drives .095 on his journey.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmV6EU6ijyVtPLGYJuyTBwpmjLsgewaNxdCadiAyLUUPQu,Male,Determination,Efficiency,Curiosity,,,
C096,Cryptonaut .096,"A creative soul who prefers to do his work in peace. That’s why .096 is an artist of the night. Though not many see him around, they have all come to appreciate his meaningful work.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/Qman77oomYdkDu5arpuQLga9UxSgoomgjgWHtY1ieDFVbe,Male,Imagination,Conscientiousness,Calm,,,
C097,Cryptonaut .097,The most gracious show-stopper you’ll ever meet. Regardless of his talent .097 is as unpretentious as they come and he is loved all the more for it.,Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmXnHjM5km3Pv91Sa7aB86P1Xznx2N7iwBYTwzcZhgpZCu,Male,Humility,Respect,,,,
C098,Cryptonaut .098,"The only thing more fun than flying a kite on a windy day on earth, is flying one on the moon. .098 knows what’s good. It’s all fun and games when you are this campy and big-hearted!",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmNwhhtGZjsSccP5oDPkPbozaPXX2s6nQPgoFiywnPyMXu,Female,Wit,Generosity,,,,
C099,Cryptonaut .099,"Catch her at the Moonporium taking advantage of the best deals. .099 is a passionate couponer, always looking to discover the best finds tokens can buy.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/Qmdt76FJzB1vErkZgyRFT6nyrZSBYWmSpVMa5wwCay2uGM,Female,Enthusiasm,Curiosity,,,,
C100,Cryptonaut .100,"Some call it being in the right place at the right time, others call it a coincidence, but somehow, this Cryptonaut always manages to discover the most valuable runes of the moon’s surface. Fortunately for him, no one is jealous of his riches and are instead drawn to him because of .100’s pure nature.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmX3FbjnKzreH8myYA9Kvbb5jH2RgYVCBRqaKfhgY8dT4F,Male,Luck,Sociable,Respect,,,
C101,Cryptonaut .101,"This enlightened Cryptonaut seeks the more bucolic side of the moon. Find .101 hidden amongst the serene mountains, absorbing all the knowledge a Cryptonaut can.",First Quarter,https://ipfs.tothemoon.net/ipfs/QmTL9w9VUoeuGaHpi9C1Fq35SuMFCgqSCV7SsFPyky8tuk,Male,Wisdom,Focus,Calm,,,
C102,Cryptonaut .102,"90's nostalgia anyone? You may think the boom box is passe, but .102 is bringing it back and this time, to the moon. This Cryptonaut is full of good vibes and uses creativity to liven up any lackluster space.",First Quarter,https://ipfs.tothemoon.net/ipfs/QmXuz62f59jgEgyByYv4Xv1ipS42y8yafmumFMUJPaR3Ad,Female,Optimism,Enthusiasm,Imagination,,,
C103,Cryptonaut .103,"Make love, not war. .103 is one gentle soul whose unwavering belief carries this flower child through life. Just like the flower, this Cryptonaut is sewn to the environment around it.",First Quarter,https://ipfs.tothemoon.net/ipfs/QmX7hdmmK8DTH4TjBZT3k5FVoSZY22PiFR6HNG7Zc3RVqN,Male,Faith,Conscientiousness,Humility,,,
C104,Cryptonaut .104,"The quick movements of .104 are nearly invisible to the naked eye. This martial arts master is ready to adjust based on the threat before her. She has a talent for anticipation. Though .104 could, she would never hurt another and only utilizes her talents when defense is necessary.",First Quarter,https://ipfs.tothemoon.net/ipfs/QmbqrYbFF49gwkEEjq1dz1juu1dQJbEQGZefAuUPy2PZo9,Female,Discipline,Adaptability,Kind,,,
C105,Cryptonaut .105,Probably the moon's toughest bouncer- there will be no casual entry into the vault on .105's watch. There is a certain vision to his work as he feels out who's in it for the long run and who's not. And if you're a dumper- Access denied!,First Quarter,https://ipfs.tothemoon.net/ipfs/QmdtVhQSht8c2xdrB17C5BhuQEWDJWtDchXLgc2F18VS9J,Male,Intuition,Determination,Curiosity,,,
C106,Cryptonaut .106,This is one smooth Cryptonaut. .106 has the skills to dance his way through any obstacle with incredible energy and passion. Swerve.,First Quarter,https://ipfs.tothemoon.net/ipfs/QmV47x8yoYqpAkLR4gxesu1fwDhQiAgJDGcb2TDjTzfq2K,Male,Talent,Versatility,Enthusiasm,,,
C107,Cryptonaut .107,"With the natural ability to sense what lies beyond the thick surface of the moon, .107 is never short of direction. This Cryptonaut knows the way and with blessings from the universe gets it right every time.",First Quarter,https://ipfs.tothemoon.net/ipfs/QmPGbxWC7omw4oUi1nWRwqLB43CpaFiodqcU6oND8UYdDV,Female,Luck,Intuition,Charm,,,
C108,Cryptonaut .108,You can always count on this resourceful soul to help things grow. .108 keeps his focus on the future and won’t stop watering progress until every mission blooms.,First Quarter,https://ipfs.tothemoon.net/ipfs/QmQkRsZYAtzMWWUuNM9JxZSHwumyE12APqj99gki7JzCh2,Male,Ambition,Reliability,Kind,,,
C109,Cryptonaut .109,"This Cryptonaut's child-like wonder is what keeps him tied to a virtual reality of his own. You'd think .109 lives in another world and therefore exemplifies the more absent-minded qualities a human can have, but on the contrary, he has the tenacity and intelligence of the most apprehensive beings of the entire universe.",First Quarter,https://ipfs.tothemoon.net/ipfs/QmVcUN9VFjHUTrBZsANAM2zjGJjdoAQ398qH9DgnXGohfo,Male,Focus,Clever,Curiosity,,,
C110,Cryptonaut .110,"This expert of espionage will contort his way through any crevice. .110 is a compassionate Cryptonaut, who uses his shuriken (throwing stars) as a delaying tactic, not to pierce his opponents.",First Quarter,https://ipfs.tothemoon.net/ipfs/QmNtDMqNtW5CMXyCKb9wGcay9Ysu9cCbJ9gog5YkFWvdhN,Male,Skillful,Adaptability,Respect,,,
C111,Cryptonaut .111,".111 moves with air in the tank and no fear in the step. When the mission calls for extra oxygen, he’s already in motion. Others try to match this charge-ahead energy, but can’t replicate this Cryptonauts unique spark.",First Quarter,https://ipfs.tothemoon.net/ipfs/QmTGdmBuMvHFQ67UbMyspZcTK9JygoYzwjpt8kZBg6bqWz,Male,Leader,Intuition,Charisma,,,
C112,Cryptonaut .112,"If anyone should be the gang's main source of spiritual illumination, it's .112. With her magnetic, bright energy, this Cryptonaut can handle revealing the path to enlightenment. Think not of her as a teacher, but simply a revealer.",First Quarter,https://ipfs.tothemoon.net/ipfs/QmafHs1PwYboyDU8hQzBct9pxHCLXXER6jk4jCmJtpSNWM,Female,Optimism,Responsibility,,,,
C113,Cryptonaut .113,"You have to have complete trust in the universe when you're falling 14,000 feet through the galaxy sky. All his successful jumps and lands on the moon's surface have made .113 one self- assured, outgoing Cryptonaut.",First Quarter,https://ipfs.tothemoon.net/ipfs/Qma5iMP99iRgtkJxroacvScRruMNVY2325aiS6uzj7xyn4,Male,Faith,Confidence,Sociable,,,
C114,Cryptonaut .114,"The diploma is a symbol of tenacity and maturity as it reminds one of the years of effort traded off for being called up to the podium. .114 represents these same virtues as she has the discipline to reach any goal, academic or not. Hats off, Grad!",First Quarter,https://ipfs.tothemoon.net/ipfs/QmV7ZbjgsbbEdYxMJwpen9n3GqznxxAPub9tSSDqKRcLXQ,Female,Determination,Responsibility,,,,
C115,Cryptonaut .115,"You would think he was a greedy Cryptonaut, but on the contrary loves to share his most beloved dishes and is always down to make merry around the table. Believe it or not, he is also a vegetarian who promotes a green lifestyle. Bon Appetit!",First Quarter,https://ipfs.tothemoon.net/ipfs/QmdybpHg5LqVoARpZYzJXe6iZYkqLCMRERJYzgtUv2RJ4B,Male,Conscientiousness,Charm,Generosity,,,
C116,Cryptonaut .116,Discipline does not dull .116’s natural charm or sharp humor. He’s a lively presence who pilots every mission with style and precision. Need direction through uncertain skies? Just ask the Cryptonauts’ trusted aviator to lead the way.,First Quarter,https://ipfs.tothemoon.net/ipfs/QmR1TbSxqfU7VGSfCDhPEG22tdTdZ2vasJZeSDnCJdAtcL,Male,Sociable,Wit,,,,
C117,Cryptonaut .117,"You just know .117 will catch the ball, no matter how high or extravagant the toss is. As predictable as a machine, this Cryptonaut has plenty of talent but will never be the one to brag about it- a true entertainer at heart.",First Quarter,https://ipfs.tothemoon.net/ipfs/QmQafE1qtVmk5ajc2Q1BpHiW97PsrsE5eqoYaa4bNgepYr,Female,Reliability,Humility,,,,
C118,Cryptonaut .118,"Kick back, relax, and enjoy the lull. .118 certainly has this sequence mastered. Without a care in the world, this Cryptonaut knows all will turn out as it should, as long as one focuses on and contributes to the good.",First Quarter,https://ipfs.tothemoon.net/ipfs/QmXSCpBEE392TQZbvP3FDW1XW9c2De5GrSVgt746ZUV2y5,Female,Confidence,Calm,Kind,,,
C119,Cryptonaut .119,"Can you keep up? .119 certainly can. Always ready to serve up something better than the last round, this Cryptonaut won’t leave the pan until the job is done. Unless, of course, friends are nearby - then the only thing being cooked is a good time.",First Quarter,https://ipfs.tothemoon.net/ipfs/QmaES8nkDPupfP9RfwxCTBEncy7xC3MekvH4BpGJ15LvYS,Female,Determination,Sociable,,,,
C120,Cryptonaut .120,"A bit of a daredevil. Spends most of his time making his wrongs, right. .120's focus is to live it up, even if that means paying for it later. But this bad boy is harmless with his only crime being trying to keep the gang in stitches.",First Quarter,https://ipfs.tothemoon.net/ipfs/QmUcoAp5bxZYgQiR46Pn3iv7YWvYS4QxMma4rpds4kYGJW,Male,Humor,Sociable,,,,
C121,Cryptonaut .121,"A truly generous soul. .121 always considers the future generations and what will be left for them. She understands that good things (like vegetation and organic foods) take time to grow, yet continues to display selflessness through her dedication to caring for Cryptonauts she may never meet.",First Quarter,https://ipfs.tothemoon.net/ipfs/QmefMzJCSzqjQ3d1sCa6LWnsfkdYPREVjwoAb9Hpu5mQuj,Female,Conscientiousness,Humility,Kind,,,
C122,Cryptonaut .122,Good luck spectating a match with .122 playing. You won't even spot the ball because of her quick drives and smashes. Many believe she can accurately play out the entire game in her head before reaching the table for first serve. This Cryptonaut's grit is simply remarkable and unmatchable!,First Quarter,https://ipfs.tothemoon.net/ipfs/QmPTohRUEY38hTXGBrsv37s95YtEsY4SVpF8A4ueV73Vgn,Female,Focus,Clever,,,,
C123,Cryptonaut .123,".123 definitely holds the most life experience after living out many full years, but does not act like the senior he is. His zest for life, combined with all the lessons he's learned make him one of the most popular and interesting Cryptonauts, especially amongst the youth!",First Quarter,https://ipfs.tothemoon.net/ipfs/QmeGGoYnTTGmNFCYWT95QqpT3iVs3h52uzpi1fY6J3W5CS,Male,Wisdom,Imagination,Charm,,,
C124,Cryptonaut .124,"This Cryptonaut loves to be suspended mid air, even if it's only to dangle and hang. .124 is the first to reach any destination, but does so while maintaining an ease to her technique.",First Quarter,https://ipfs.tothemoon.net/ipfs/QmcNnqssjcG5CVuMBvQbbte89xzZJNRH6NEe2Z7ZEHUQYk,Female,Efficiency,Calm,,,,
C125,Cryptonaut .125,"Put your hands up and enjoy the way down! .125 is all about the feeling in her stomach when she lets gravity do its job. Her playful, engaging attitude feeds her need-to-discover way of life.",First Quarter,https://ipfs.tothemoon.net/ipfs/QmXfu4y5tqNuKM2HpuW7fVp6wXfSzUgF38j9sVtXBQcj3t,Female,Curiosity,Charisma,,,,
C126,Cryptonaut .126,"This courteous Cryptonaut serves sincerity on a silver platter. .126 is the most gracious host who is a magnet to those around him, not because of his hospitality, but because of his massive heart.",First Quarter,https://ipfs.tothemoon.net/ipfs/Qmf25mB6K5rxyVUu4YF28hfRMaGBaSH6tLLpYiS4C8Xmpy,Male,Charm,Generosity,,,,
C127,Cryptonaut .127,".127 understands a solid base comes from hardworking, steady hands. This Cryptonaut always delivers great work, on time, making her one of the best builders on the moon.",First Quarter,https://ipfs.tothemoon.net/ipfs/QmVWCbyjUF2VXjEKAyTaGL22zNaji71woFD4gajan563bt,Female,Efficiency,Reliability,,,,
C128,Cryptonaut .128,This creative soul maintains her playfulness and innocence through seeking pleasure in the simple things of life. .128 is a whimsical character who's sure to blow everyone away!,First Quarter,https://ipfs.tothemoon.net/ipfs/QmTQayWtwC6iMKoGHRSD1Q4t8Rq3UDxo2S81pFiPF9nAJs,Female,Imagination,Kind,,,,
C129,Cryptonaut .129,"When lifting this heavy, one must be sensible and accountable for the goal set out to reach. This is what makes .129 one the greatest lifters the moon has ever seen. He is steadfast, yet ensures to always have a spotter nearby.",First Quarter,https://ipfs.tothemoon.net/ipfs/QmPSVogrdGqgkx7mhAojFm4HXCqa8B6i6Ec1nJeAkVormZ,Male,Ambition,Responsibility,,,,
C130,Cryptonaut .130,Ready to reach heights no one has reached before! .130 is prepared for whatever size rock the mountain may send tumbling his way. This explorer has a goal to touch every snow-brushed peak and see every breathtaking view.,First Quarter,https://ipfs.tothemoon.net/ipfs/QmZmUAk33yRJ8kiHgZRki2L12PsJW857cHiSSB3vgcbVgF,Male,Adaptability,Clever,Curiosity,,,
C131,Cryptonaut .131,".131 is all about going with the flow. Only once he reaches full acceptance of the stream's movement, can he readjust to any obstacles in the way. Along with the path of least resistance, this Cryptonaut understands the ebbs of generosity- what you give is what you get.",First Quarter,https://ipfs.tothemoon.net/ipfs/Qmae42EQR2hnSFnx2sDvuNfYW6TXZn4wqJB6yKafi3vGRu,Male,Adaptability,Determination,Kind,,,
C132,Cryptonaut .132,"The moon's resident stuntman loves to set his sight on impossible heights and reach them. .132 is sure of himself, but even when he doesn't make the ollie, shows the values of a true sportsman.",First Quarter,https://ipfs.tothemoon.net/ipfs/QmeWTTDZj1BYgqQdi2Besy9KgWb4tBF5oMud3kFnXK86MX,Male,Ambition,Confidence,Respect,,,
C133,Cryptonaut .133,"In the blink of an eye, watch her vanish into the horizon with her killer front stroke. This Cryptonaut can make a speed boat look like a lazy duck cruising its way down the river. .133's gusto for and passion for life seep through her perma-mood of whimsicality.",First Quarter,https://ipfs.tothemoon.net/ipfs/QmT1kWxGz3xVJAKbEzhRUNRZYGSwGVAd2niLQMBengtpUp,Female,Enthusiasm,Wit,,,,
C134,Cryptonaut .134,"Cryptonauts line up for miles outside his shop, even if it's just to get a whiff of his famous cornbread. With a heart of gold, it's hard for .134 to not have enough for everyone but his baked goods are just too irresistible to be able to keep up with the demand. Luckily, his bakery assistants help him out a bit, so he can still charm the crowds while maintaining his jolly Ol' town baker status.",First Quarter,https://ipfs.tothemoon.net/ipfs/QmcroPctZRt5rCqZEnW53JZrgexpPLPEt74uyZfhxojvUU,Male,Generosity,Charisma,,,,
C135,Cryptonaut .135,"The job of the farmer is no joke. .135 is up before the sun and still tending to the crops long after it disappears for the day. Fortunately, this Cryptonaut understands the value of hard work and how the payoff only multiplies with time.",First Quarter,https://ipfs.tothemoon.net/ipfs/QmaT3E4WDZMDZSzGrNZLWN3cXDaAK49CUfFXRuypL6s4LG,Male,Discipline,Humility,,,,
C136,Cryptonaut .136,No melancholy pieces here. This prodigy's song will turn a dark day into the brightest meteor shower and her personality will do the same. .136 is quite a phenomenon of the moon.,First Quarter,https://ipfs.tothemoon.net/ipfs/QmcmVpEzUsueahiRUnp5cmUThVFLbBjrj9m5Dw1MkBtxsv,Female,Optimism,Charm,,,,
C137,Cryptonaut .137,"You may think .137 does nothing but sweep the same spot all day, but no corner of the universe escapes this Cryptonaut’s notice. This sharp-minded soul always finds the bright side and keeps every path clear for others. So regardless of all that gets stirred up, .137 could never be called anything but a force for good.",First Quarter,https://ipfs.tothemoon.net/ipfs/QmPwUp9dYYqpUmXEcgUXw3kcw1Rb22dpGdSV2TMnM7Ayms,Female,Alert,Clever,Optimism,,,
C138,Cryptonaut .138,"Not sure if you heard, but tradespeople are always in demand on the moon. It's not easy to arrange for one's services and if you do, they may not show up because they are requested at a bigger job elsewhere, but not this craftsman, wherever he commits to be, he'll be. .138 is ready to work and his word is as solid as wood.",First Quarter,https://ipfs.tothemoon.net/ipfs/QmZ5YzrUEQuGo5cGYzDh4MSoFQXCTG8SvYyS2AJD57NQgG,Male,Reliability,Responsibility,,,,
C139,Cryptonaut .139,"Gather around the fire with this zany Cryptonaut. .139 always has a hilarious campfire story to share. Basically, if you ever get an invite to join her, you'd be crazy not to…and don't worry about the marshmallows- she's literally got a life supply! S'mores up!",First Quarter,https://ipfs.tothemoon.net/ipfs/QmdrgLzshbKJfBMeTZo9iURS6nw6q66DVWyeuwMBoGbQsu,Female,Humor,Sociable,,,,
C140,Cryptonaut .140,"The real Iron Man. People say .140 has hands of gold that form the most incredible objects and can withstand such extreme temperatures-bare! Maybe that's the secret as to how quick he works. Also, if ever in need of a laugh, sit in at his shop. This Cryptonaut loves to spew jokes while crafting.",First Quarter,https://ipfs.tothemoon.net/ipfs/QmTEcYN3LouHX3h84pnxC6VdGKdqknZUuLwY7cy5VgxuYb,Male,Efficiency,Wit,,,,
C141,Cryptonaut .141,It takes plenty of vision to see beyond the blob of clay .141 begins molding with. Only through this vision can she make the most incredible ceramics with intricate designs. Her hands are her guide as she quietly observes the way they want to move. The decorative artist is nothing but a vessel according to this Cryptonaut.,First Quarter,https://ipfs.tothemoon.net/ipfs/QmU4fYk6FkwiUbUrXmBEcbSDGwHqtE8PBmDzzWXEiMpDEJ,Female,Imagination,Calm,,,,
C142,Cryptonaut .142,.142 is ready to scour the sea and observe life through his binoculars. This Cryptonaut is prepared for whatever the blue may bring and always keeps on his toes. All aboard the SS Exploration!,First Quarter,https://ipfs.tothemoon.net/ipfs/QmSco7DwviqtsBBgFuU7AmdbS6yFoQpgoTHbnRv5Vsti18,Male,Alert,Curiosity,Versatility,,,
C143,Cryptonaut .143,"This lovable Cryptonaut always puts together the most elaborate, plush arrangements. It is mostly because she doesn't use her flowers sparingly. .143 will go above and beyond and even include extra to provide the full, elegant effect.",First Quarter,https://ipfs.tothemoon.net/ipfs/QmVRXUNxx6UEj8fQniji14XtMZmG66bK4Xkpy8qPanuTSo,Female,Charisma,Generosity,,,,
C144,Cryptonaut .144,"A very honest Cryptonaut who will share the true worth of every jewel. .144 is the farthest thing from a trickster who wants to rip someone off. His honesty, kindness and passion for his work has made him the number one jeweler on the moon. Planning to pop the question anytime soon?",First Quarter,https://ipfs.tothemoon.net/ipfs/QmaGnWcg1Cq6Xv9Ev28Mve8dWmw3GFJZ8KHUtV4Svpqe6g,Male,Enthusiasm,Humility,Respect,,,
C145,Cryptonaut .145,"Always looking for the next fossil or rune to discover, .145 is a major advocate of making the most of the land, but with the utmost respect. He is currently working to minimize the environmental impact on construction machinery used on the moon. Not to mention, this Cryptonaut is a hoot to hang with, so if you're ever down for cleaning artifacts, you're in for a good time.",First Quarter,https://ipfs.tothemoon.net/ipfs/QmXEGz7RcCrDFU2oX5KvvAjuWfKUcCiXtX58Cujmh9peFS,Male,Conscientiousness,Curiosity,Humor,,,
C146,Cryptonaut .146,"Want to see your colony at 10,000 ft? Just say the word and .146 will take you there. There's no place she won't go, regardless if it seems too far, or high. This thrillseeker simply wants to see the universe from remarkable coordinates and laugh the entire time doing it. Now you know why everyone loves her company.",First Quarter,https://ipfs.tothemoon.net/ipfs/QmZxocksjUpLRRjQoo5enHuT3Bdtk8s2DMmXMXbBukJ7NX,Female,Charisma,Curiosity,Humor,,,
C147,Cryptonaut .147,"""When in doubt, let your horse do the thinking."" .147's admiration and bond with horses began at a young age and hasn't stopped growing since. When not on his horse, he's yarnin' the hours away at the saloon telling tales of the Old West!",First Quarter,https://ipfs.tothemoon.net/ipfs/QmQ4PH6shT4p1GbVZEr5RN942ktinBdzxbJeAsweXonfhR,Male,Sociable,Respect,,,,
C148,Cryptonaut .148,"It's rare to find this acrobat in an upright position. But in whichever orientation you meet her, this Cryptonaut's warm soul will always shine through. .148 is eager to share her skills and teach admirers technique.",First Quarter,https://ipfs.tothemoon.net/ipfs/QmXNry1yoAXB9wdi4BDVNunryf1jtE326MtGRwbKtAzv7m,Female,Charm,Kind,,,,
C149,Cryptonaut .149,"The moon's resident film buff. .149 is an easygoing Cryptonaut who enjoys sitting back and watching the classics. His extensive knowledge in cinema is what makes this Cryptonaut such a clever, quick conversationalist with brilliant references.",First Quarter,https://ipfs.tothemoon.net/ipfs/QmVP53PS1bLifA9LxBgZuKavpaCdt7h8eueRYkkKs3mXc3,Male,Logic,Calm,Wit,,,
C150,Cryptonaut .150,"Always hitting the double bull, there is no one more accurate than .150. It's fascinating to witness his laser-sharp focus the moment before he throws. Just be sure to keep quiet because no one dares to disturb the billiards master.",First Quarter,https://ipfs.tothemoon.net/ipfs/Qmcw4t9UgacAZwhgzXHwhPt7NjGZNYmNAuyr4xWFSNjsfF,Male,Skillful,Alert,,,,
C151,Cryptonaut .151,".151 knows a true ruler is one who believes he is worthy to govern the group. Opinions of sheep aside, it's time to claim the throne.",Waxing Gibbous,,Male,Leader,Ambition,Confidence,,,
C152,Cryptonaut .152,"Ready for whatever threat is hiding around the corner, .152 is precise beyond belief. This Cryptonaut finds joy where others usually face fear- in meeting the unknown.",Waxing Gibbous,,Male,Skillful,Versatility,Alert,,,
C153,Cryptonaut .153,"Up before some even call it a day, .153 knows that others rely on her to show up and she simply can’t let them down. A woman of her word, this Cryptonaut will never let one of her animals go astray.",Waxing Gibbous,,Female,Discipline,Efficiency,Responsibility,,,
C154,Cryptonaut .154,This master of tactic is prepared to reroute at any point. .154 has the universe on his side and treats others with dignity as a way to pay it back for that.,Waxing Gibbous,,Male,Luck,Adaptability,Respect,,,
C155,Cryptonaut .155,An unshakeable Cryptonaut with the ability to maintain composure in the most heated of situations. .155 holds his stance and is determined to stay that way.,Waxing Gibbous,,Male,Discipline,Focus,Calm,,,
C156,Cryptonaut .156,"An earnest Cryptonaut, eager to keep the crowd in tears- of laughter that is! .156 is always ready for a show and his puppets are a tool to bring the group closer together.",Waxing Gibbous,,Male,Enthusiasm,Humor,Sociable,,,
C157,Cryptonaut .157,".157 is always working on maximizing her physical and mental potential, so rest assured she can defend the group at a moment's notice. It’s just not recommended you sneak up on this Cryptonaut, especially while she's drilling. Hey, she’s only human after all.",Waxing Gibbous,,Female,Focus,Reliability,Alert,,,
C158,Cryptonaut .158,Only someone as controlled and on guard as .158 can handle the precision necessary to use this tool. This Cryptonaut knows what's in his hands is anything but a toy.,Waxing Gibbous,,Male,Focus,Discipline,Calm,,,
C159,Cryptonaut .159,"Always able to find something worth laughing about, .159 will eagerly make do with whatever gets thrown her way. Never underestimate the jester- she is no fool.",Waxing Gibbous,,Female,Optimism,Enthusiasm,Humor,,,
C160,Cryptonaut .160,".160 is a skilled sorcerer who knows all the tricks to have everyone swooning. But it’s not all about wowing the group, this wiz is smart enough to use his powers for the greater good of all Cryptonauts.",Waxing Gibbous,,Male,Wisdom,Clever,Charisma,,,
C161,Cryptonaut .161,An ancient Egyptian ruler that knows you have to be quick on your feet to wear the Nemes on your head. That’s why .161 keeps his banter game strong.,Waxing Gibbous,,Male,Ambition,Wit,,,,
C162,Cryptonaut .162,".162 is capable of marching the distance of the moon, no problem. Along with that, this legionary can throw or thrust his spear in any direction- just say charge.",Waxing Gibbous,,Male,Determination,Adaptability,,,,
C163,Cryptonaut .163,"A leader from a great ancient dynasty, .163 does not rule with an iron fist, but instead with compassion for others and flexibility in his approach. The Mughals are known for their contribution to architecture and this Cryptonaut is no different with his help to shape the urban landscape on the moon.",Waxing Gibbous,,Male,Versatility,Kind,,,,
